"Step","swa_coco_ltd_constraint_b005 - contrastive_loss","swa_coco_ltd_constraint_b005 - contrastive_loss__MIN","swa_coco_ltd_constraint_b005 - contrastive_loss__MAX","swa_coco_ltd_constraint_b01 - contrastive_loss","swa_coco_ltd_constraint_b01 - contrastive_loss__MIN","swa_coco_ltd_constraint_b01 - contrastive_loss__MAX","swa_coco_ltd_constraint_b03 - contrastive_loss","swa_coco_ltd_constraint_b03 - contrastive_loss__MIN","swa_coco_ltd_constraint_b03 - contrastive_loss__MAX","swa_coco_ltd_constraint - contrastive_loss","swa_coco_ltd_constraint - contrastive_loss__MIN","swa_coco_ltd_constraint - contrastive_loss__MAX","swa_coco_ltd - contrastive_loss","swa_coco_ltd - contrastive_loss__MIN","swa_coco_ltd - contrastive_loss__MAX"
"0","4.894484519958496","4.894484519958496","4.894484519958496","4.898123741149902","4.898123741149902","4.898123741149902","4.891505718231201","4.891505718231201","4.891505718231201","4.892548084259033","4.892548084259033","4.892548084259033","4.879369258880615","4.879369258880615","4.879369258880615"
"100","4.290583610534668","4.290583610534668","4.290583610534668","3.871102809906006","3.871102809906006","3.871102809906006","3.7509939670562744","3.7509939670562744","3.7509939670562744","3.618208885192871","3.618208885192871","3.618208885192871","3.6264400482177734","3.6264400482177734","3.6264400482177734"
"200","3.348261833190918","3.348261833190918","3.348261833190918","3.218686103820801","3.218686103820801","3.218686103820801","3.1369898319244385","3.1369898319244385","3.1369898319244385","3.196859121322632","3.196859121322632","3.196859121322632","3.228361129760742","3.228361129760742","3.228361129760742"
"300","2.880317449569702","2.880317449569702","2.880317449569702","2.939187526702881","2.939187526702881","2.939187526702881","3.0591940879821777","3.0591940879821777","3.0591940879821777","2.9298620223999023","2.9298620223999023","2.9298620223999023","2.9580130577087402","2.9580130577087402","2.9580130577087402"
"400","2.5971317291259766","2.5971317291259766","2.5971317291259766","2.662930488586426","2.662930488586426","2.662930488586426","2.753366231918335","2.753366231918335","2.753366231918335","2.6705620288848877","2.6705620288848877","2.6705620288848877","2.8978729248046875","2.8978729248046875","2.8978729248046875"
"500","2.5162739753723145","2.5162739753723145","2.5162739753723145","2.2304277420043945","2.2304277420043945","2.2304277420043945","2.610328197479248","2.610328197479248","2.610328197479248","2.455958366394043","2.455958366394043","2.455958366394043","2.6810433864593506","2.6810433864593506","2.6810433864593506"
"600","2.2592129707336426","2.2592129707336426","2.2592129707336426","2.4049816131591797","2.4049816131591797","2.4049816131591797","2.2738840579986572","2.2738840579986572","2.2738840579986572","2.396576166152954","2.396576166152954","2.396576166152954","2.6592483520507812","2.6592483520507812","2.6592483520507812"
"700","2.223874568939209","2.223874568939209","2.223874568939209","2.1850318908691406","2.1850318908691406","2.1850318908691406","2.3724582195281982","2.3724582195281982","2.3724582195281982","2.597849130630493","2.597849130630493","2.597849130630493","2.5548877716064453","2.5548877716064453","2.5548877716064453"
"800","2.1109015941619873","2.1109015941619873","2.1109015941619873","1.9956752061843872","1.9956752061843872","1.9956752061843872","2.217771053314209","2.217771053314209","2.217771053314209","2.308077573776245","2.308077573776245","2.308077573776245","2.2821755409240723","2.2821755409240723","2.2821755409240723"
"900","2.1508054733276367","2.1508054733276367","2.1508054733276367","1.9360640048980713","1.9360640048980713","1.9360640048980713","2.0112338066101074","2.0112338066101074","2.0112338066101074","2.264371395111084","2.264371395111084","2.264371395111084","2.1326162815093994","2.1326162815093994","2.1326162815093994"
