"Step","swa_coco_ltd_constraint_b005 - multiplier","swa_coco_ltd_constraint_b005 - multiplier__MIN","swa_coco_ltd_constraint_b005 - multiplier__MAX","swa_coco_ltd_constraint_b01 - multiplier","swa_coco_ltd_constraint_b01 - multiplier__MIN","swa_coco_ltd_constraint_b01 - multiplier__MAX","swa_coco_ltd_constraint_b03 - multiplier","swa_coco_ltd_constraint_b03 - multiplier__MIN","swa_coco_ltd_constraint_b03 - multiplier__MAX","swa_coco_ltd_constraint - multiplier","swa_coco_ltd_constraint - multiplier__MIN","swa_coco_ltd_constraint - multiplier__MAX"
"0","1.0978573560714722","1.0978573560714722","1.0978573560714722","1.0458486080169678","1.0458486080169678","1.0458486080169678","1.0117570161819458","1.0117570161819458","1.0117570161819458","1.0202867984771729","1.0202867984771729","1.0202867984771729"
"100","8.1766357421875","8.1766357421875","8.1766357421875","4.290684223175049","4.290684223175049","4.290684223175049","1.7684305906295776","1.7684305906295776","1.7684305906295776","2.389308452606201","2.389308452606201","2.389308452606201"
"200","13.699538230895996","13.699538230895996","13.699538230895996","6.7269978523254395","6.7269978523254395","6.7269978523254395","2.3179538249969482","2.3179538249969482","2.3179538249969482","3.4088022708892822","3.4088022708892822","3.4088022708892822"
"300","17.963119506835938","17.963119506835938","17.963119506835938","8.627145767211914","8.627145767211914","8.627145767211914","2.727856159210205","2.727856159210205","2.727856159210205","4.221844673156738","4.221844673156738","4.221844673156738"
"400","21.448001861572266","21.448001861572266","21.448001861572266","10.224841117858887","10.224841117858887","10.224841117858887","3.0510406494140625","3.0510406494140625","3.0510406494140625","4.866281032562256","4.866281032562256","4.866281032562256"
"500","24.495256423950195","24.495256423950195","24.495256423950195","11.591830253601074","11.591830253601074","11.591830253601074","3.320143222808838","3.320143222808838","3.320143222808838","5.407956600189209","5.407956600189209","5.407956600189209"
"600","27.14679527282715","27.14679527282715","27.14679527282715","12.779111862182617","12.779111862182617","12.779111862182617","3.5235307216644287","3.5235307216644287","3.5235307216644287","5.881316661834717","5.881316661834717","5.881316661834717"
"700","29.55286407470703","29.55286407470703","29.55286407470703","13.850279808044434","13.850279808044434","13.850279808044434","3.6771366596221924","3.6771366596221924","3.6771366596221924","6.297492980957031","6.297492980957031","6.297492980957031"
"800","31.791034698486328","31.791034698486328","31.791034698486328","14.822392463684082","14.822392463684082","14.822392463684082","3.791020631790161","3.791020631790161","3.791020631790161","6.67396879196167","6.67396879196167","6.67396879196167"
"900","33.873252868652344","33.873252868652344","33.873252868652344","15.718316078186035","15.718316078186035","15.718316078186035","3.8733038902282715","3.8733038902282715","3.8733038902282715","6.996601581573486","6.996601581573486","6.996601581573486"
"1000","35.8741569519043","35.8741569519043","35.8741569519043","16.55438804626465","16.55438804626465","16.55438804626465","3.930598258972168","3.930598258972168","3.930598258972168","7.275307655334473","7.275307655334473","7.275307655334473"
"1100","37.78997802734375","37.78997802734375","37.78997802734375","17.34255027770996","17.34255027770996","17.34255027770996","3.967689037322998","3.967689037322998","3.967689037322998","7.512030601501465","7.512030601501465","7.512030601501465"
"1200","39.64445114135742","39.64445114135742","39.64445114135742","18.09247589111328","18.09247589111328","18.09247589111328","3.9858973026275635","3.9858973026275635","3.9858973026275635","7.72236442565918","7.72236442565918","7.72236442565918"
